sample_size,include_eer,exclude_eer
10,0.013698630136696598,0.00392649599432456
10,0.026562500000300623,0.03125000000000154
10,0.023255813953423597,0.047287679899715385
10,0.03000000000027556,0.12424753190432748
10,0.035714285713287795,0.07608008429831817
10,0.05869872701586635,0.1522605231248926
10,0.04241071428592795,0.15442613794975685
10,0.02639751552805307,0.036797337277291904
10,0.02601156069361344,0.09826589595375726
10,0.05778894472338129,0.29982919458583984
15,0.0472972972967007,0.08648648648644364
15,0.1558823529411297,0.45179904955790734
15,0.042600896860873975,0.19329861271143467
15,0.040118870728755224,0.04160475482912194
15,0.056934306569726006,0.09197080291970801
15,0.04191616766363341,0.05211312360934626
15,0.034098018769351555,0.07134879442874975
15,0.019021739130131245,0.044702726866540685
15,0.12994350282546563,0.35141114274094837
15,0.045161290323052515,0.11023921986988074
15,0.08333333333389303,0.2313858385740819
15,0.012695312499999946,0.02886823400819274
15,0.047619047618960506,0.013109243698707442
15,0.04848484848511534,0.06117638781397313
15,0.08111979166668165,0.20572916666666882
20,0.028571428571428113,0.028571428571621846
20,0.06306818181787581,0.07135362014690452
20,0.017985611511018303,0.05616224648985475
20,0.05024509803921516,0.08050383351588171
20,0.033695652173913,0.053255551374746024
20,0.04916666666666671,0.11000000000001801
20,0.030257936508830432,0.13818814465018014
20,0.005780346821100865,0.021700394552633045
20,0.03571428571462357,0.0982142857142857
20,0.07692307692320766,0.2692307692307693
20,0.040000000000332596,0.044177134341627164
20,0.04347158218123033,0.13548387096774195
20,0.31402439024388656,0.5182926829268262
20,0.015068493151054522,0.033435166327653115
20,0.0552486187845288,0.11049723756906082
20,0.027210884353895612,0.052331623587783656
20,0.013513513513608435,0.020783915058366385
20,0.0357142857142857,0.05637001858235407
20,0.038461538461557476,0.10465380249777743
20,0.062222222222128906,0.11333333333333524
25,0.08176691729279029,0.09868421052621633
25,0.06257309941524453,0.12078395624426294
25,0.04594313453604578,0.07952236566534139
25,0.05454545454597873,0.07897911483215879
25,0.02333333333345326,0.022400000000476067
25,0.03590886577515504,0.06389301634472529
25,0.05994152046783628,0.10526315789489102
25,0.043478260870064164,0.08695652173910702
25,0.1071428571422327,0.1779528408779486
25,0.13938356164383564,0.1855563848328306
25,0.11499999999984652,0.18367962972198437
25,0.021276595744682245,0.05673758865251036
25,0.028385416666666365,0.03593750000031035
25,0.07142857142886778,0.14285714285709
25,0.09114583333379979,0.13617707417197697
25,0.06444444444416607,0.1329703144206119
25,0.08733624454231907,0.1589291934124043
25,0.05193905817155628,0.08177925516930529
25,0.014927127409519392,0.07475317348378
25,0.12905346187558567,0.22085889570534983
25,0.056886227545943,0.05329348071227903
25,0.02624148003897706,0.03902178270745593
25,0.004970178926439158,0.0039761431411530915
25,0.03324099723068313,0.052075127491650657
25,0.04191616766419587,0.06059411146190853
30,0.11666666666663073,0.1333333333332957
30,0.05136986301369807,0.0395737416574842
30,0.03186274509804198,0.04519000342303998
30,0.07692307692307682,0.12975962952072922
30,0.009433962263786061,0.007564367600414707
30,0.07794117647058338,0.0705882352941002
30,0.11250000000064134,0.39590108144901237
30,0.09087301587337357,0.16070589240805955
30,0.07017543859644552,0.09941520467840445
30,0.038948069241030475,0.04762102121987513
30,0.04761904761951523,0.056789536267487194
30,0.04472140762491779,0.07033393562209522
30,0.07352941176479486,0.08823529411764713
30,0.04545454545545636,0.04164355703485312
30,0.06537753222832982,0.08287292817679556
