sanitize_length,eer
2,0.09566546559977569
2,0.053571428571428575
2,0.0035031774340204833
2,0.084374004244039
2,0.0323697351937166
2,0.0625
2,0.03121831636022684
2,0.1455727196974553
2,0.1632653061224489
2,0.11443558655953667
2,0.07939376899611653
2,0.01026153440306352
2,0.0727272727271816
2,0.05933596227559772
2,0.1077826959040831
2,0.04695822295444122
2,0.01924220629042167
2,0.05808789578943954
2,0.06666666666666671
2,0.05080448198072225
2,0.024390243902439625
2,0.018518518518397316
2,0.06742906865949017
2,0.08431068200629586
2,0.04081632653061227
2,0.02222222222230686
2,0.1272727272726773
2,0.07386769255195613
2,0.05676404788029195
2,0.030574094133268122
2,0.03448627636269921
2,0.03773584905636168
2,0.04293856623979325
2,0.05000000000000011
2,0.0750311271848804
2,0.026223316322505567
2,0.1251332827727888
2,0.17218880475593393
2,0.022222222222222206
2,0.0023320335284297456
2,0.043478260869565424
2,0.048069895502817706
2,0.23913043478260826
2,0.040816326530612415
2,0.0022604298063199973
2,0.053096295395758455
2,0.08767080153053386
2,0.07317073170721959
2,0.019815268137876985
2,0.058823529411838056
2,0.14764468682554874
2,0.0737474662036596
2,0.01785714285714332
2,0.1096175800262942
2,0.07134618353773171
2,0.06467553529089443
2,0.02850475539066486
2,0.012471754489465863
2,0.01888850399093107
2,0.020000000000350848
2,0.060825029443268924
2,0.07397176265688911
2,0.058111978155100316
2,0.10869565217391315
2,0.06382978723434587
2,0.06666666666666671
2,0.2912672918127766
2,0.023868917907570692
3,0.06224036605962002
3,0.05263157894736846
3,0.017304199552515262
3,0.18205190077506175
3,0.10305907202685718
3,0.10679451982121778
3,0.04545454545454539
3,0.07710457435687616
3,0.06958139921811629
3,0.15105317511350133
3,0.04109589041093026
3,0.11114912047628497
3,0.105929510757451
3,0.043625657353735324
3,0.10657237865331011
3,0.030519970869576
3,0.06596693033784223
3,0.043711665299197636
3,0.1136987890127871
3,0.2272718027091477
3,0.012945331220354475
3,0.013009647140868014
3,0.0749642924504546
3,0.05962565179682821
3,0.04347826086956522
3,0.05714285714318991
3,0.09626349692306112
3,0.06451612903225741
3,0.07266189862032396
3,0.014448819453921027
3,0.11908621394330436
3,0.03939242196628278
3,0.14442459331300458
3,0.0846456477455839
3,0.05333333333303663
3,0.07243698612902422
3,0.0483870967746149
3,0.1140877631211547
3,0.018469216771734086
3,0.017798270623059158
3,0.028842100593842332
3,0.0359039739742652
3,0.10109607809480403
3,0.11428571428571438
3,0.014285714285342737
3,0.06929022152706754
3,0.03181639699411008
3,0.030993228392294
3,0.025063289866330742
3,0.05318716235925275
3,0.0921052631578734
3,0.0675675675675674
3,0.07058823529413816
3,0.07250701412370866
3,0.03076923076923075
3,0.04931779658504401
3,0.054054054054053655
3,0.011941030156684037
3,0.01538461538461533
3,0.0001314167003468432
3,0.03250644400999192
3,0.07164003165010155
3,0.04918032786885251
3,0.04722783175874417
3,0.015790574850581794
3,0.06370944727530904
3,0.06585051171363437
3,0.02720323335231315
4,0.18267517049517237
4,0.028831053411994587
4,0.16167239438862577
4,0.1666675731223132
4,0.022482442656814143
4,0.08878188093847064
4,0.09897802513149105
4,0.24467528944948969
4,0.08910891089111775
4,0.14893617021276598
4,0.0692867373254521
4,0.012303273981675456
4,0.0802785449851089
4,0.07518891351405912
4,0.15841584158394773
4,0.06683205718841231
4,0.17211727044625408
4,0.10679611650486096
4,0.10017002543715578
4,0.22037053855192656
4,0.07591767101425345
4,0.03046951527518263
4,0.17092668858098226
4,0.086885897459048
4,0.042877408592875595
4,0.1896962221772749
4,0.033994932790741846
4,0.03826983549928433
4,0.052631287957573235
4,0.08080808080808075
4,0.4999528092761997
4,0.023897588319474125
4,0.10679016923847606
4,0.1744102547171337
4,0.13993490991527263
4,0.12260785751509246
4,0.06896551724137913
4,0.07527795638271359
4,0.16483516483555952
4,0.03188998169227308
4,0.0300000000000001
4,0.07058823529411748
4,0.08999943690458814
4,0.08457448876965493
4,0.01454337717923496
4,0.18823529411764708
4,0.041666666666666595
4,0.05093199997458916
4,0.1801744363980659
4,0.056170236552405176
4,0.12569001116755296
4,0.12121212121218838
4,0.07599187936533856
4,0.2089439407771953
4,0.04444444444444427
4,0.07291666666666667
4,0.09383634480096692
4,0.016112173578606774
4,0.08597929249268339
