sanitize_length,early_eer,late_eer
3,0.07352941176449224,0.06327247118853184
3,0.03947368421087602,0.04285714285715367
3,0.019715330134338262,0.017859017320037127
3,0.12669630236532575,0.10229272194081582
3,0.09778911564745463,0.06735333550748268
3,0.12053983686412725,0.08681804226331623
3,0.05710533095572272,0.015026150289920012
3,0.056899392900852226,0.10884651112038089
3,0.0978991165741243,0.06149641321546329
3,0.20060072707839177,0.09230769230769227
3,0.041095890410959166,0.08461503302461593
3,0.07875785500358119,0.010887476910577835
3,0.09210526315789525,0.17173481588023595
3,0.041019489753550784,0.019614991776572967
3,0.10389610389612615,0.0700380733215465
3,0.02896574251771967,0.03225130319871419
3,0.05680771890539072,0.06890653358981343
3,0.05208410080203648,0.02552221903785892
3,0.12307692307692558,0.07142857142862388
3,0.2013680413067426,0.22847596805136322
3,0.014492753623189131,0.02857142857143349
3,0.0026973773419797934,0.015731335447137326
3,0.08064516129032262,0.0513015562528582
3,0.06153846153846159,0.08955223880587974
3,0.034750549337428834,0.028093615890244075
3,0.051724333200165055,0.2437065074871621
3,0.11494252873514721,0.09982862293500527
3,0.05018403429018067,0.03821920690963967
3,0.056925646967255696,0.03908872837018583
3,0.02129143954875496,0.060767446192906215
3,0.11700277280574937,0.20408071065087957
3,0.02739726027397259,0.04918032786885251
3,0.1280166590949569,0.044776119402981374
3,0.0769230769230769,0.07575757575757576
3,0.05701763422940641,0.08389430647957402
3,0.07529627881145788,0.03339191564214649
3,0.05387577441272824,0.12547683735812
3,0.11249404824155967,0.03936290051147997
3,0.01408450704225443,0.05479452054794519
3,0.019464519668583674,0.02232466286257319
3,0.02581990147535305,0.030232915518606324
3,0.05060266030885704,0.0772422984046021
3,0.10704303222097909,0.21538461538463657
3,0.10765004853120022,0.04761904761904763
3,0.014285714285342737,0.01538461538461533
3,0.0822536793685997,0.11676487058723789
3,0.0361903617534189,0.08
3,0.03741573752570382,0.06349206349205716
3,0.028080297029771818,0.16252466393175014
3,0.056491948068133915,0.04477611940298139
3,0.07894736842105264,0.07869877763437866
3,0.07064391011930646,0.1334169164784706
3,0.0705882352941245,0.05233966405330732
3,0.11494252873562835,0.04396826432698985
3,0.030769230769402082,0.02897493442588807
3,0.06319011109672383,0.06072184590548482
3,0.06448303717843162,0.07340539422531564
3,0.004219177609035211,0.013698630136684178
3,0.014012729021723501,0.1394905299793353
3,0.00011431214780422159,0.008528217819756975
3,0.03225806451600717,0.03618037587687983
3,0.09082082222517117,0.0896290861063214
3,0.06078382094197419,0.047375190338493384
3,0.05737267302953453,0.090761351036223
3,0.014747781691282155,0.03640883638592875
3,0.04878048780487837,0.07144270622893623
3,0.06339603566580157,0.04545454545454345
3,0.033865995995163156,0.03379850335330474
4,0.1861516692917096,0.06315789473684133
4,0.026802457073031496,0.039678989029797156
4,0.1666488978922644,0.013595778140278503
4,0.15909090909047807,0.3385081123021381
4,0.023419039524011916,0.10586535698156588
4,0.06883149264591125,0.13791967545966627
4,0.08777868993517328,0.03165002356161823
4,0.21872963254357017,0.162790697674208
4,0.10846663644331153,0.10792424929286833
4,0.1502887176645152,0.0798145553990359
4,0.06451612903260064,0.10714285714285794
4,0.007775565712323013,0.056007626950706255
4,0.0535689483560205,0.1329081691700827
4,0.09876543209876537,0.032503946225373996
4,0.15840393687356666,0.09890109890109934
4,0.07664682027913908,0.050000000000000974
4,0.17044180631808908,0.1005641013041637
4,0.1067961165048545,0.03011079644699007
4,0.08138901313351707,0.0704730802499667
4,0.20238095238090437,0.15909090909090912
4,0.08883060224282127,0.02197802197802199
4,0.034462862056501134,0.011492578385334955
4,0.15420838501266498,0.04403638038232989
4,0.08139534883720932,0.06896551724137882
4,0.04322977409152288,0.03361344537815557
4,0.205607476635514,0.3047619047618945
4,0.03361285851560554,0.10101010101010097
4,0.03529411764705897,0.025248691946550172
4,0.06666666666666886,0.05482470351967014
4,0.08107754389804064,0.04444444444444444
4,0.48461577012540874,0.40373395909974025
4,0.015339193240829184,0.0493827160493881
4,0.10989010989010994,0.07954545454538389
4,0.17977528089889933,0.13953488372093034
4,0.18750000000000003,0.06854345877659615
4,0.1198313934187097,0.04985281496539762
4,0.06896551724137964,0.1274509803925379
4,0.07564693689893821,0.04807692307681838
4,0.19218763826401664,0.030267615240213243
4,0.03861321514172641,0.01851851851851888
4,0.039999999999999515,0.038834951456316685
4,0.07058823529411763,0.05634336264497916
4,0.0689655172413791,0.36275213330586614
4,0.1086956521738733,0.041804399088067976
4,0.02197802197802199,0.014260922189688769
4,0.18823529411764703,0.17128653818520018
4,0.043628826732210704,0.08761944143770799
4,0.04398582087188392,0.04819277108433744
4,0.1770833333333334,0.2688172043010694
4,0.07571250414845103,0.06306705719428271
4,0.12303434131838442,0.06451604165885477
4,0.09760081333962188,0.11688986297090831
4,0.09063814259757241,0.03960396039603963
4,0.1869158878504629,0.0497931258798887
4,0.033333333333687404,0.029529626577427165
4,0.06154115475113995,0.0648790385515193
4,0.08659184597435116,0.14955666224534633
4,0.011363399167640521,0.032258064515853446
4,0.0770254904688023,0.154570926631669
4,0.05084284650766502,0.012763202002136214
4,0.15730337078651688,0.08002629972325809
4,0.11662665439140266,0.13990599447723687
4,0.032273803384447124,0.06519660601206419
4,0.10897825275146208,0.16483516483476549
4,0.02986634611467361,0.08430428705749446
4,0.07160416381775313,0.0537634408602148
4,0.08243701092579862,0.09192461689048732
