eer,fpr,tpr,authorized,unauthorized
0.09769964138826066,"[0.0, 0.0, 0.0, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.004, 0.004, 0.005, 0.005, 0.006, 0.006, 0.008, 0.008, 0.008, 0.008, 0.011, 0.011, 0.014, 0.014, 0.015, 0.015, 0.015, 0.015, 0.016, 0.016, 0.018, 0.018, 0.022, 0.022, 0.023, 0.023, 0.036, 0.036, 0.038, 0.038, 0.044, 0.044, 0.047, 0.047, 0.05, 0.05, 0.055, 0.055, 0.059, 0.059, 0.098, 0.098, 0.196, 0.196, 0.357, 0.36, 0.388, 0.388, 1.0]","[0.0, 0.033, 0.067, 0.067, 0.1, 0.1, 0.133, 0.133, 0.167, 0.167, 0.2, 0.2, 0.233, 0.233, 0.267, 0.267, 0.333, 0.333, 0.367, 0.367, 0.4, 0.4, 0.433, 0.433, 0.467, 0.467, 0.5, 0.5, 0.533, 0.533, 0.567, 0.567, 0.6, 0.6, 0.633, 0.633, 0.667, 0.667, 0.7, 0.7, 0.733, 0.733, 0.767, 0.767, 0.8, 0.8, 0.833, 0.833, 0.867, 0.867, 0.9, 0.9, 0.933, 0.933, 0.967, 0.967, 0.967, 0.967, 1.0, 1.0]","[0.639, -0.196, 0.821, 1.145, -0.8, 1.118, 1.385, 1.514, 1.219, 0.709, 2.045, 0.669, 1.102, 1.159, 1.027, 1.467, 1.148, 0.853, 0.737, 1.315, 1.015, 1.386, 0.355, 1.499, 1.291, 1.54, 1.823, 1.526, 1.423, 0.769]","[-2.38, -1.924, -2.05, -1.33, -1.387, 0.177, -0.309, -0.198, -0.888, -0.374, -0.82, -1.061, -0.64, 0.111, -0.876, -0.774, -1.118, -1.038, -1.143, -1.005, -1.828, 0.542, -1.142, -0.509, -1.376, -0.842, -1.501, -0.642, -1.802, -1.963]"
0.133423408209092,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.004, 0.004, 0.007, 0.007, 0.007, 0.007, 0.008, 0.008, 0.009, 0.009, 0.01, 0.01, 0.013, 0.013, 0.017, 0.017, 0.018, 0.018, 0.021, 0.021, 0.023, 0.023, 0.029, 0.029, 0.034, 0.034, 0.039, 0.039, 0.045, 0.045, 0.045, 0.045, 0.049, 0.049, 0.059, 0.059, 0.076, 0.076, 0.133, 0.133, 0.291, 0.291, 0.375, 0.375, 0.448, 0.448, 0.463, 0.468, 0.468, 0.491, 0.492, 0.515, 0.515, 0.516, 0.517, 0.526, 0.526, 0.538, 0.538, 0.569, 0.569, 0.597, 0.597, 0.608, 0.609, 0.614, 0.614, 0.686, 0.686, 0.692, 0.692, 0.743, 0.743, 0.929, 0.929, 1.0]","[0.0, 0.0, 0.038, 0.038, 0.077, 0.077, 0.115, 0.115, 0.154, 0.154, 0.192, 0.192, 0.231, 0.231, 0.269, 0.269, 0.308, 0.308, 0.346, 0.346, 0.385, 0.385, 0.423, 0.423, 0.462, 0.462, 0.5, 0.5, 0.538, 0.538, 0.577, 0.577, 0.615, 0.615, 0.654, 0.654, 0.692, 0.692, 0.731, 0.731, 0.769, 0.769, 0.808, 0.808, 0.846, 0.846, 0.885, 0.885, 0.923, 0.923, 0.962, 0.962, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.178, 2.059, 1.052, 0.43, -1.131, 0.931, 0.844, 1.277, 1.688, 0.822, 1.155, 0.647, 1.953, 0.569, 1.07, 0.737, 1.135, -0.209, 0.764, 0.384, 0.293, -1.27, -0.887, 0.52, 0.435, 0.16]","[-0.888, 0.19, -1.838, -0.839, -2.184, -2.067, -1.386, -0.339, -0.928, -0.548, -0.446, -2.242, -0.743, -1.903, -1.67, -1.779, -1.613, -1.427, -0.037, -1.5, -1.061, -1.82, 0.213, -0.883, -0.59, -0.244]"
0.062499999999999986,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.007, 0.007, 0.008, 0.008, 0.017, 0.017, 0.036, 0.036, 0.037, 0.037, 0.04, 0.04, 0.042, 0.042, 0.047, 0.047, 0.05, 0.05, 0.127, 0.127, 0.205, 0.208, 0.255, 0.256, 0.257, 0.257, 0.259, 0.259, 0.265, 0.265, 0.268, 0.269, 0.271, 0.271, 0.279, 0.28, 0.328, 0.328, 0.343, 0.343, 0.358, 0.359, 0.416, 0.416, 0.471, 0.471, 0.476, 0.476, 0.524, 0.525, 0.582, 0.582, 0.728, 0.728, 0.895, 0.895, 1.0]","[0.0, 0.0, 0.0, 0.125, 0.125, 0.188, 0.188, 0.25, 0.25, 0.312, 0.312, 0.375, 0.375, 0.438, 0.438, 0.5, 0.5, 0.562, 0.562, 0.625, 0.625, 0.688, 0.688, 0.75, 0.75, 0.812, 0.812, 0.875, 0.875, 0.938, 0.938, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.03, 0.43, 1.39, 0.005, 1.041, 1.107, 1.064, -0.406, 1.055, 0.765, 1.408, 0.095, 0.133, 0.073, 0.126, 0.695]","[-1.565, -1.267, -0.803, -1.407, -0.765, -1.657, -1.07, -0.468, -0.604, -0.66, -0.527, -1.644, -0.875, -0.75, -1.443, -1.383]"
0.25020829861637106,"[0.0, 0.0, 0.031, 0.031, 0.036, 0.036, 0.05, 0.05, 0.081, 0.081, 0.109, 0.109, 0.25, 0.25, 0.392, 0.392, 0.54, 0.54, 0.654, 0.654, 0.68, 0.681, 0.707, 0.707, 0.708, 0.709, 0.712, 0.712, 0.721, 0.721, 0.723, 0.723, 0.756, 0.756, 0.761, 0.761, 0.775, 0.775, 0.812, 0.812, 0.862, 0.862, 0.92, 0.92, 1.0]","[0.0, 0.0, 0.0, 0.143, 0.143, 0.286, 0.286, 0.429, 0.429, 0.571, 0.571, 0.714, 0.714, 0.857, 0.857, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.271, 0.537, 0.258, 0.416, 0.578, -0.557, 0.14]","[-1.131, -0.517, 0.084, -0.681, -0.461, -0.706, -0.319]"
0.22451216838454138,"[0.0, 0.0, 0.035, 0.035, 0.065, 0.065, 0.065, 0.065, 0.074, 0.074, 0.112, 0.112, 0.131, 0.131, 0.173, 0.173, 0.214, 0.214, 0.225, 0.225, 0.245, 0.245, 0.261, 0.261, 0.278, 0.281, 0.525, 0.525, 0.597, 0.597, 0.793, 0.793, 0.854, 0.854, 1.0]","[0.0, 0.0, 0.0, 0.091, 0.091, 0.182, 0.182, 0.273, 0.273, 0.364, 0.364, 0.455, 0.455, 0.545, 0.545, 0.636, 0.636, 0.727, 0.727, 0.818, 0.818, 0.909, 0.909, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.351, 0.249, 0.055, -0.309, -0.383, -0.281, -0.166, 0.532, 0.314, -0.018, 0.318]","[-0.54, -0.31, -1.145, -1.252, -0.5, 0.166, -1.252, 0.923, -0.989, -0.951, -0.759]"
0.34147850293866167,"[0.0, 0.0, 0.119, 0.12, 0.122, 0.122, 0.181, 0.181, 0.186, 0.186, 0.341, 0.341, 0.446, 0.446, 0.793, 0.796, 0.796, 0.796, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.333, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 1.0, 1.0]","[-0.38, 0.365, 0.574]","[-0.654, 0.113, 0.507]"
0.13043478260881597,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.004, 0.004, 0.004, 0.004, 0.005, 0.005, 0.006, 0.006, 0.009, 0.009, 0.013, 0.013, 0.017, 0.017, 0.018, 0.018, 0.018, 0.018, 0.018, 0.018, 0.027, 0.027, 0.034, 0.034, 0.035, 0.035, 0.039, 0.039, 0.044, 0.044, 0.046, 0.046, 0.046, 0.046, 0.051, 0.051, 0.061, 0.061, 0.066, 0.066, 0.068, 0.068, 0.081, 0.081, 0.111, 0.111, 0.118, 0.118, 0.123, 0.123, 0.13, 0.13, 0.184, 0.184, 0.19, 0.19, 0.215, 0.215, 0.216, 0.216, 0.226, 0.227, 0.265, 0.265, 0.37, 0.371, 0.402, 0.402, 0.419, 0.419, 0.426, 0.426, 0.447, 0.448, 0.475, 0.475, 0.48, 0.481, 0.493, 0.493, 0.493, 0.493, 0.502, 0.502, 0.541, 0.541, 0.578, 0.578, 0.671, 0.671, 0.739, 0.739, 1.0]","[0.0, 0.022, 0.043, 0.043, 0.065, 0.065, 0.087, 0.087, 0.109, 0.109, 0.13, 0.13, 0.152, 0.152, 0.174, 0.174, 0.196, 0.196, 0.217, 0.217, 0.239, 0.239, 0.261, 0.261, 0.304, 0.304, 0.326, 0.326, 0.348, 0.348, 0.37, 0.37, 0.391, 0.391, 0.413, 0.413, 0.435, 0.435, 0.457, 0.457, 0.478, 0.478, 0.5, 0.5, 0.522, 0.522, 0.543, 0.543, 0.565, 0.565, 0.587, 0.587, 0.609, 0.609, 0.63, 0.63, 0.652, 0.652, 0.674, 0.674, 0.696, 0.696, 0.717, 0.717, 0.739, 0.739, 0.761, 0.761, 0.783, 0.783, 0.804, 0.804, 0.826, 0.826, 0.848, 0.848, 0.87, 0.87, 0.891, 0.891, 0.913, 0.913, 0.935, 0.935, 0.957, 0.957, 0.957, 0.957, 0.957, 0.957, 0.957, 0.957, 0.978, 0.978, 0.978, 0.978, 0.978, 0.978, 0.978, 0.978, 0.978, 0.978, 0.978, 0.978, 0.978, 0.978, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.575, 0.207, 1.657, 0.983, 1.902, 2.183, 1.587, 1.88, 0.561, 1.706, 1.939, 1.987, -0.248, 1.924, 1.683, 1.833, 0.717, 1.17, 1.498, -0.732, 0.799, 0.741, 0.722, -0.253, 1.48, 0.399, 0.863, -0.947, -0.158, 0.165, 2.17, 0.882, 1.949, 1.13, 1.118, 0.498, 1.133, 1.261, 0.141, 1.714, -0.139, 0.095, 1.653, 1.343, 0.661, 0.517]","[0.091, -1.836, -0.764, -0.291, -1.375, -0.791, -1.479, 0.189, -0.81, 0.741, -0.706, -1.727, -0.755, -1.616, 0.304, -1.361, -0.663, 0.448, -0.649, -0.51, -1.891, -1.043, -1.113, -1.651, -1.246, -0.416, -0.954, -1.223, -0.509, -1.818, -1.061, -1.187, -0.425, -1.767, -1.287, -0.281, -0.726, -1.453, 0.313, -1.161, -0.91, -0.165, -1.038, 0.605, -1.715, -1.676]"
0.1666666666666666,"[0.0, 0.0, 0.012, 0.012, 0.024, 0.024, 0.027, 0.027, 0.049, 0.049, 0.061, 0.061, 0.077, 0.077, 0.12, 0.12, 0.136, 0.136, 0.144, 0.144, 0.196, 0.196, 0.214, 0.214, 0.357, 0.357, 0.388, 0.388, 0.408, 0.408, 0.423, 0.423, 0.432, 0.432, 0.477, 0.477, 0.508, 0.508, 0.548, 0.549, 0.551, 0.575, 0.576, 1.0]","[0.0, 0.0, 0.0, 0.167, 0.167, 0.333, 0.333, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.667, 0.667, 0.833, 0.833, 0.833, 0.833, 0.833, 0.833, 0.833, 0.833, 0.833, 0.833, 0.833, 0.833, 0.833, 0.833, 0.833, 0.833, 0.833, 0.833, 0.833, 0.833, 0.833, 0.833, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.775, 0.591, 1.179, -0.517, 1.044, 1.067]","[0.361, -0.749, 0.551, -0.149, -0.864, -0.574]"
0.07178631051814763,"[0.0, 0.0, 0.001, 0.001, 0.015, 0.015, 0.024, 0.024, 0.072, 0.072, 0.235, 0.235, 0.48, 0.48, 0.65, 0.65, 0.658, 0.658, 0.717, 0.721, 0.731, 0.731, 0.737, 0.737, 0.742, 0.742, 0.746, 0.746, 0.75, 0.75, 0.757, 0.758, 0.76, 0.76, 0.766, 0.767, 0.797, 0.797, 0.84, 0.84, 0.85, 0.85, 0.873, 0.873, 0.893, 0.893, 1.0]","[0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.759, 0.49, 0.847, 1.094]","[-0.362, -0.809, -1.075, -0.88]"
0.3333333333329376,"[0.0, 0.0, 0.0, 0.0, 0.635, 0.635, 0.701, 1.0]","[0.0, 0.333, 0.333, 0.667, 0.667, 0.667, 1.0, 1.0]","[0.939, -0.631, 1.117]","[-0.561, -0.587, -0.605]"
